giocatore,voto,gf,gs,rp,rs,rf,au,amm,esp,ass
FERRARI G,6,0,0,0,0,0,0,1,0,0
CHIRICHES,6,0,0,0,0,0,0,0,0,0
PELUSO,6,0,0,0,0,0,0,1,0,0
TOLJAN,6,0,0,0,0,0,0,0,0,0
MAGNANELLI,6,0,0,0,0,0,0,0,0,0
OBIANG,6.5,0,0,0,0,0,0,0,0,0
TRAORE' HJ,6.5,0,0,0,0,0,0,1,0,0
DUNCAN,7,1,0,0,0,0,0,0,0,0
LOCATELLI M,6,0,0,0,0,0,0,0,0,0
BERARDI,7.5,0,0,0,0,0,0,0,0,1
BOGA,6,0,0,0,0,0,0,0,0,0
CAPUTO,7.5,2,0,0,0,0,0,0,0,0
DEFREL,6.5,0,0,0,0,0,0,0,0,1
DE ZERBI,7,0,0,0,0,0,0,0,0,0
BERISHA E,6,0,3,0,0,0,0,0,0,0
SALA,5,0,0,0,0,0,0,0,0,0
CIONEK,5,0,0,0,0,0,0,0,0,0
TOMOVIC,4.5,0,0,0,0,0,0,1,0,0
FELIPE,6,0,0,0,0,0,0,0,0,0
VICARI,5,0,0,0,0,0,0,0,0,0
DI FRANCESCO F,5.5,0,0,0,0,0,0,0,0,0
KURTIC,6,0,0,0,0,0,0,1,0,0
MISSIROLI,5.5,0,0,0,0,0,0,0,0,0
MURGIA,5.5,0,0,0,0,0,0,0,0,0
STREFEZZA,5.5,0,0,0,0,0,0,0,0,0
D'ALESSANDRO,6,0,0,0,0,0,0,0,0,0
FLOCCARI,6,0,0,0,0,0,0,0,0,0
PETAGNA,5.5,0,0,0,0,0,0,0,0,0
SEMPLICI,5,0,0,0,0,0,0,0,0,0
SIRIGU,6.5,0,1,0,0,0,0,0,0,0
AINA,5,0,0,0,0,0,0,0,0,0
BREMER,5.5,0,0,0,0,0,0,0,0,0
DE SILVESTRI,6,0,0,0,0,0,0,0,0,0
IZZO,6,0,0,0,0,0,0,0,0,0
LYANCO,5,0,0,0,0,0,0,0,0,0
BERENGUER,6,0,0,0,0,0,0,0,0,0
MEITE',5,0,0,0,0,0,0,0,0,0
RINCON,6,0,0,0,0,0,0,0,0,0
LAXALT,5.5,0,0,0,0,0,0,0,0,0
BASELLI,6.5,0,0,0,0,0,0,0,0,0
VERDI,6,0,0,0,0,0,0,0,0,0
BELOTTI,5,0,0,0,0,0,0,0,0,0
ZAZA,5.5,0,0,0,0,0,0,1,0,0
MAZZARRI,5,0,0,0,0,0,0,0,0,0
MUSSO,6.5,0,1,0,0,0,0,0,0,0
RODRIGO BECAO,6,0,0,0,0,0,0,1,0,0
SAMIR,6,0,0,0,0,0,0,0,0,0
STRYGER LARSEN,5.5,0,0,0,0,0,0,0,0,0
DE MAIO,4.5,0,0,0,0,0,0,0,0,0
SEMA,6,0,0,0,0,0,0,0,0,0
WALACE,5.5,0,0,0,0,0,0,0,0,0
BARAK,5.5,0,0,0,0,0,0,0,0,0
FOFANA,5,0,0,0,0,0,0,0,0,0
JAJALO,6,0,0,0,0,0,0,1,0,0
NESTOROVSKI,6,0,0,0,0,0,0,0,0,0
PUSSETTO,5.5,0,0,0,0,0,0,1,0,0
OKAKA,5.5,0,0,0,0,0,0,1,0,0
LASAGNA,5,0,0,0,0,0,0,0,0,0
TUDOR,5,0,0,0,0,0,0,0,0,0
SILVESTRI,6,0,2,0,0,0,0,0,0,0
FARAONI,6,0,0,0,0,0,0,1,0,0
GUNTER,4.5,0,0,0,0,0,0,0,0,0
KUMBULLA,5.5,0,0,0,0,0,0,0,1,0
RRAHMANI,6,0,0,0,0,0,0,1,0,0
AMRABAT,6.5,0,0,0,0,0,0,0,0,0
MIGUEL VELOSO,7,1,0,0,0,0,0,0,0,0
ZACCAGNI,6,0,0,0,0,0,0,0,0,0
LAZOVIC,6.5,0,0,0,0,0,0,0,0,0
VERRE,5.5,0,0,0,0,0,0,0,0,0
PESSINA,5.5,0,0,0,0,0,0,0,0,0
DI CARMINE,5,0,0,0,1,0,0,0,0,0
TUTINO,5.5,0,0,0,0,0,0,0,0,0
PAZZINI,6,0,0,0,0,0,0,0,0,0
JURIC,6.5,0,0,0,0,0,0,0,0,0
