giocatore,voto,gf,gs,rp,rs,rf,au,amm,esp,ass
ZANIOLO,6,0,0,0,0,0,0,0,0,0
CRISTANTE,7,1,0,0,0,0,0,0,0,0
MKHITARYAN,7,1,0,0,0,0,0,0,0,0
KLUIVERT,7,1,0,0,0,0,0,0,0,0
DZEKO,7.5,1,0,0,0,0,0,0,0,0
AUDERO,6,0,2,0,0,0,0,0,0,0
BERESZYNSKI,6,0,0,0,0,0,0,0,0,0
DEPAOLI,6,0,0,0,0,0,0,0,0,0
FERRARI A,6,0,0,0,0,0,0,1,0,0
MURILLO,5,0,0,0,0,0,0,0,0,0
MURRU,5.5,0,0,0,0,0,0,0,0,0
REGINI,5.5,0,0,0,0,0,0,0,0,0
LINETTY,6,0,0,0,0,0,0,0,0,0
LERIS,6,0,0,0,0,0,0,0,0,0
EKDAL,6.5,0,0,0,0,0,0,0,0,0
RIGONI E,5.5,0,0,0,0,0,0,0,0,0
CAPRARI,5.5,0,0,0,0,0,0,1,0,0
GABBIADINI,6,0,0,0,0,0,0,0,0,0
QUAGLIARELLA,6,0,0,0,0,0,0,0,0,0
CONSIGLI,5.5,0,4,0,0,0,0,0,0,0
CHIRICHES,5,0,0,0,0,0,0,0,0,0
MARLON,4.5,0,0,0,0,0,0,0,0,0
PELUSO,5,0,0,0,0,0,0,0,0,0
TOLJAN,6,0,0,0,0,0,0,1,0,0
MULDUR,6,0,0,0,0,0,0,0,0,0
FERRARI G,4.5,0,0,0,0,0,0,0,0,0
DUNCAN,5.5,0,0,0,0,0,0,0,0,1
LOCATELLI M,5,0,0,0,0,0,0,0,0,0
OBIANG,4.5,0,0,0,0,0,0,1,0,0
TRAORE' HJ,6,0,0,0,0,0,0,0,0,0
BERARDI,7.5,2,0,0,0,0,0,0,0,0
CAPUTO,5.5,0,0,0,0,0,0,0,0,0
DEFREL,6,0,0,0,0,0,0,0,0,0
BERISHA E,6,0,1,0,0,0,0,0,0,0
FELIPE,6,0,0,0,0,0,0,1,0,0
